[Name];
velocity_inlet at area ave velocity inlet;
;
[Data];
Time [ s ];area ave velocity inlet [ m s^-1 ]
0.6800000070;0.8048319820
0.6899999980;0.7990559940
0.6999999880;0.7932800050
0.7099999790;0.7875040170
0.7200000290;0.7817279700
0.7300000190;0.7759519820
0.7400000100;0.7701759930
0.7500000000;0.7644000050
0.7599999900;0.7586240170
0.7699999810;0.7528479700
0.7799999710;0.7470719810
0.7900000210;0.7412959930
0.8000000120;0.7355200050
0.8100000020;0.7297440170
0.8199999930;0.7239680290
0.8299999830;0.7181919810
0.8399999740;0.7124160530
0.8500000240;0.7066400050
0.8600000140;0.7008640170
0.8700000050;0.6950879690
0.8799999950;0.6893119810
0.8899999860;0.6835359930
0.8999999760;0.6777600050
0.9100000260;0.6719840170
0.9200000170;0.6662080290
0.9300000070;0.6604319810
0.9399999980;0.6546559930
0.9499999880;0.6488800050
0.9599999790;0.6431040170
0.9700000290;0.6373280290
0.9800000190;0.6315520410
0.9900000100;0.6257759930
1.0000000000;0.6200000050
;
;
[Name];
velocity_o1 at area ave velocity o1;
;
[Data];
Time [ s ];area ave velocity o1 [ m s^-1 ]
0.0099999998;0.7812505360
0.0199999996;1.0462883700
0.0299999993;1.3924429400
0.0399999991;1.4772422300
0.0500000007;1.5409191800
0.0599999987;1.6052062500
0.0700000003;1.6265517500
0.0799999982;1.6408741500
0.0900000036;1.6470679000
0.1000000010;1.6461014700
0.1099999990;1.6392514700
0.1199999970;1.6278719900
0.1299999950;1.6133452700
0.1400000010;1.5965405700
0.1500000060;1.5777008500
0.1599999960;1.5572580100
0.1700000020;1.5343552800
0.1800000070;1.5100553000
0.1899999980;1.4844049200
0.2000000030;1.4570316100
0.2099999930;1.4271807700
0.2199999990;1.3964330000
0.2300000040;1.3637025400
0.2399999950;1.3293703800
0.2500000000;1.2928805400
0.2599999900;1.2549096300
0.2700000110;1.2152793400
0.2800000010;1.1733845500
0.2899999920;1.1305872200
0.3000000120;1.0715301000
0.3100000020;1.0312472600
0.3199999930;1.0023371000
0.3300000130;0.9861270790
0.3400000040;0.9924643640
0.3499999940;1.0070835400
0.3600000140;1.0184027000
0.3700000050;1.0274515200
0.3799999950;1.0328066300
0.3899999860;1.0343942600
