[Name];
area ave pressure in at area ave pressure in;
;
[Data];
Time [ s ];area ave pressure in [ Pa ]
0.4799999890;15346.9561000000
0.4900000100;15267.9063000000
0.5000000000;15185.1162000000
0.5099999900;15098.8008000000
0.5199999810;15009.1738000000
0.5299999710;14916.4502000000
0.5400000210;14820.8428000000
0.5500000120;14722.5654000000
0.5600000020;14621.8320000000
0.5699999930;14518.8574000000
0.5799999830;14413.8555000000
0.5899999740;14307.0400000000
0.6000000240;14198.6240000000
0.6100000140;14088.8223000000
0.6200000050;13977.8496000000
0.6299999950;13865.9180000000
0.6399999860;13753.2422000000
0.6499999760;13640.0371000000
0.6600000260;13526.5156000000
0.6700000170;13412.8926000000
0.6800000070;13299.3809000000
0.6899999980;13186.1953000000
0.6999999880;13073.5488000000
0.7099999790;12961.6563000000
0.7200000290;12850.7314000000
0.7300000190;12740.9883000000
0.7400000100;12632.6416000000
0.7500000000;12525.9033000000
0.7599999900;12420.9883000000
0.7699999810;12318.1113000000
0.7799999710;12217.4863000000
0.7900000210;12119.3262000000
0.8000000120;12023.8447000000
0.8100000020;11931.2568000000
0.8199999930;11841.7764000000
0.8299999830;11755.6172000000
0.8399999740;11672.9932000000
0.8500000240;11594.1182000000
0.8600000140;11519.2051000000
0.8700000050;11448.4707000000
0.8799999950;11382.1260000000
0.8899999860;11320.3867000000
0.8999999760;11263.4668000000
0.9100000260;11211.5791000000
0.9200000170;11164.9375000000
0.9300000070;11123.7578000000
0.9399999980;11088.2520000000
0.9499999880;11058.6357000000
0.9599999790;11035.1211000000
0.9700000290;11017.9229000000
0.9800000190;11007.2559000000
0.9900000100;11003.3330000000
1.0000000000;11006.3682000000
