time;velo_in;velo_o1;velo_o2;press_in_[Pa];press_o1_[Pa];press_o2_[Pa];wall_shear_[Pa];max_turb_plane_1[J/s]
0.230000004;1.3846741900;1.3637025400;0.2443104090;19193.4277000000;15482.1182000000;15482.1182000000;;
0.239999995;1.3495687200;1.3293703800;0.2377221580;19071.6133000000;15566.0859000000;15566.0859000000;;
0.250000000;1.3127749000;1.2928805400;0.2322280260;18969.1367000000;15640.9658000000;15640.9658000000;;
0.259999990;1.2742927100;1.2549096300;0.2264110150;18821.5176000000;15706.9717000000;15706.9717000000;;
0.270000011;1.2341221600;1.2152793400;0.2197446080;18695.9219000000;15764.3174000000;15764.3174000000;;
0.280000001;1.1922631300;1.1733845500;0.2117145060;18584.9688000000;15813.2158000000;15813.2158000000;;
0.289999992;1.1487157300;1.1305872200;0.2040948720;18439.0547000000;15853.8828000000;15853.8828000000;;
0.300000012;1.0853396700;1.0715301000;0.1897039410;18069.7617000000;15886.5313000000;15886.5313000000;;
0.310000002;1.0474292000;1.0312472600;0.1864110680;18120.6758000000;15911.3750000000;15911.3750000000;;
0.319999993;1.0215860600;1.0023371000;0.1857791540;18071.7539000000;15928.6279000000;15928.6279000000;;
0.330000013;1.0078100000;0.9861270790;0.1899766770;18093.1934000000;15938.5049000000;15938.5049000000;;
0.340000004;1.0202167000;0.9924643640;0.2017336040;18140.8613000000;15941.2188000000;15941.2188000000;;
0.349999994;1.0385799400;1.0070835400;0.2149163480;18192.4375000000;15936.9844000000;15936.9844000000;;
0.360000014;1.0529286900;1.0184027000;0.2246553150;18269.5605000000;15926.0146000000;15926.0146000000;;
0.370000005;1.0632630600;1.0274515200;0.2337744090;18285.7422000000;15908.5244000000;15908.5244000000;;
0.379999995;1.0695830600;1.0328066300;0.2394178060;18295.9492000000;15884.7275000000;15884.7275000000;;
0.389999986;1.0718886900;1.0343942600;0.2409196350;18246.2031000000;15854.8379000000;15854.8379000000;;
0.400000006;1.0713998100;1.0350046200;0.2418372630;18223.0234000000;15819.0693000000;15819.0693000000;;
0.409999996;1.0667562500;1.0312937500;0.2400218550;18139.0332000000;15777.6367000000;15777.6367000000;;
0.419999987;1.0557057900;1.0212274800;0.2353613380;18075.3457000000;15730.7520000000;15730.7520000000;;
0.430000007;1.0382483000;1.0068739700;0.2302359190;17980.7363000000;15678.6309000000;15678.6309000000;;
0.439999998;1.0143837900;0.9857730870;0.2231825590;17823.9277000000;15621.4863000000;15621.4863000000;;
0.449999988;0.9966002700;0.9684774280;0.2181831150;17714.2617000000;15559.5322000000;15559.5322000000;;
0.460000008;0.9842627640;0.9555596110;0.2147092370;17604.3789000000;15492.9834000000;15492.9834000000;;
0.469999999;0.9723165040;0.9436443450;0.2134248910;17493.6855000000;15422.0537000000;15422.0537000000;;
0.479999989;0.9607614280;0.9317236540;0.2130626740;17364.2773000000;15346.9561000000;15346.9561000000;;
0.490000010;0.9495976570;0.9193617700;0.2110126170;17208.5469000000;15267.9063000000;15267.9063000000;;
0.500000000;0.9388250110;0.9081983570;0.2096835370;17119.3555000000;15185.1162000000;15185.1162000000;;
0.509999990;0.9284436110;0.8975169660;0.2071088700;16988.0156000000;15098.8008000000;15098.8008000000;;
0.519999981;0.9184534550;0.8871598240;0.2050989870;16826.5898000000;15009.1738000000;15009.1738000000;;
